,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
126,677.167454798331,517.523504867872,2577.0863964126133,2.6338441316062466,0.07436242058457838,78.85382575949582,-28288.0,0.0175188134581902,11,9
125,615.4889233808382,511.40934104698744,2540.1684688979403,2.6582548056087965,0.037520227954637185,77.77854631732087,-29772.0,0.02154563132987395,11,8
123,536.4732085216268,1176.5869916074887,2220.8104745719825,2.647062515556694,0.04998214817256008,69.17631077992134,-25751.0,0.013276720789289154,11,6
118,123.68130036121144,1038.328980272298,2579.953808258413,2.5221442162620957,0.039077851031063884,83.87179648964555,-30324.0,0.02355999393361261,11,1
121,489.64224585062243,1051.343101659751,2764.1850193510536,2.6029876307445505,0.05420098291154756,84.58864945109552,-29294.0,0.020060410247859015,11,4
119,231.21888,215.67664,2240.1655045311313,2.5821851211716016,0.033599596298574924,68.45945781847136,-26931.0,0.014961802307695253,11,2
117,110.21060977367738,372.7504685022344,2486.404496789193,2.5606665378495816,0.03356118451340271,77.4201198365959,-29731.0,0.021409669432461417,11,0
122,530.9845070422535,1246.5163732394367,2035.8624105178922,2.599600456841641,0.03302268113983842,62.36620764614669,-23609.0,0.011023111333007464,11,5
136,677.094979835906,517.4804616882213,2578.580700856785,2.6390676516166622,0.07670107883146561,79.24716101923926,-28332.0,0.0,12,9
135,615.4748343437192,511.41026364020865,2543.439425834679,2.652988440742564,0.037945738713551856,78.52999214123709,-29801.0,0.0,12,8
134,552.4532990574122,282.1401885175664,2092.340201571317,2.567311484899524,0.03817094935762285,66.33812121520029,-26520.0,0.0,12,7
133,536.5071043606075,1176.559692960967,2195.612520003629,2.6431883310357462,0.04478739954212203,68.13104341020569,-25762.0,0.0,12,6
132,530.9521739130435,1246.5300869565217,2061.860524256225,2.617034498285682,0.0338827076231268,63.11086126419054,-23551.0,0.0,12,5
130,246.47794577033613,512.1914282144196,2869.751265325664,2.5762397250313662,0.033872197844351457,91.43903194527607,-32842.0,0.0,12,3
129,231.17210259658012,215.67574414186194,2264.8193167308377,2.5845732721992403,0.031168856264691555,68.84821228820786,-26940.0,0.0,12,2
128,123.70184185015925,1038.2183908045977,2589.3382340268176,2.5056092729225763,0.037410154948161266,83.90875872625332,-30308.0,0.0,12,1
127,110.13806563539106,372.72502529998553,2480.328564570488,2.553546830743308,0.03293346179866632,77.09565438523276,-29763.0,0.0,12,0
131,489.63995339202484,1051.2729155877782,2769.706206844362,2.595433786605336,0.04804447801754635,84.98451204325657,-29232.0,0.0,12,4
146,677.2178576403398,517.4645493801365,2581.5481023486172,2.642774989701219,0.06814600307374682,79.4709751523951,-28252.0,,13,9
145,615.5182471466817,511.39523742426377,2552.061134192525,2.621998609547375,0.023038406045375763,78.75178080712456,-29744.0,,13,8
144,552.4004497491784,282.0975609756098,2078.831255004507,2.568588613584581,0.045730971228296384,65.08708824698422,-26489.0,,13,7
143,536.4492776886035,1176.5329052969503,2240.290385517744,2.6277015449456567,0.049201288507625895,70.12144866387803,-25716.0,,13,6
142,530.8031774051192,1246.5246248896735,2037.1179829788157,2.6039212741104953,0.03481349183138241,62.9295052111726,-23572.0,,13,5
140,246.4527027027027,512.2234734734735,2873.9006037010936,2.578885544309916,0.032457901618766,91.69727902199435,-32807.0,,13,3
139,231.1551197556663,215.53994534640734,2237.054010964027,2.5916723931239503,0.032461017098128785,68.68305997333695,-26946.0,,13,2
138,123.72512437810946,1038.2289939192924,2602.045141188828,2.514304020953793,0.038886652185586956,84.14573839665364,-30294.0,,13,1
137,110.13164739884394,372.72803468208093,2488.4124346360823,2.5557653288564994,0.03338158284193912,77.31339211658347,-29732.0,,13,0
141,489.61321734614387,1051.3235523240717,2769.6174236368647,2.6040287983932884,0.05062009518522006,84.86493274192418,-29232.0,,13,4
156,676.8000293642637,517.3561885185729,2555.128039539472,2.6003850950933654,0.009250988319393796,78.78092619340612,-28238.0,0.012323071087492641,14,9
147,109.98794629234055,372.71727189502593,2458.7151917694464,2.537061270474843,0.03777679306404669,77.65548439064317,-29785.0,0.015191100419875841,14,0
148,123.5351131746953,1038.3450377248985,2585.5149682140714,2.5339253566928073,0.032462162917117905,85.90872427757144,-30303.0,0.016474995022175677,14,1
149,230.2893230043786,216.0892556416302,2227.624474935455,2.555480706961229,0.025682694892240468,70.15253903889021,-26972.0,0.01067391590813052,14,2
150,245.43601591580028,512.7444487228854,2922.772361775367,2.5721023376058434,0.02590237138508221,95.6625532348503,-32751.0,0.02743147092934385,14,3
151,489.3520993654651,1051.3754556500608,2778.71581102171,2.5896377820674705,0.050859660070514,87.03416608033437,-29283.0,0.014124387255688167,14,4
152,530.4334394308182,1246.5283654746302,2003.661556185629,2.6360739702081415,0.03635082751472484,60.773857349199005,-23689.0,0.007923977437880775,14,5
153,536.2070299360915,1176.5565085771948,2230.625653076156,2.619559536028628,0.05579224035732204,67.90165543336433,-25763.0,0.00946435884252645,14,6
154,551.9122681883024,282.2469686162625,2103.825876631531,2.5369241825744893,0.025289415611343066,66.77621363060138,-26524.0,0.010191284264323246,14,7
155,614.8342484048078,511.57471434931,2528.1174362731613,2.564583511763927,0.02726279292427252,80.28151526375672,-29848.0,0.015336458762289598,14,8
165,551.5851027974385,282.30080889787666,2097.0131514889936,2.579670854761899,0.03145143030323677,68.55755837358691,-26566.0,0.17026236238629755,15,7
164,536.0852505515285,1176.3796092026473,2242.6096156638278,2.5875163954560483,0.05241685003192119,68.2041688974344,-25723.0,0.14891705674006955,15,6
167,676.7430467316109,517.3851475363547,2503.0576595882276,2.601924807998937,0.031944937404900856,77.39229527739967,-28374.0,0.24583698982002394,15,9
166,614.7085893759388,511.5630206199645,2587.87113386483,2.5738843240228904,0.030005255688160832,83.75330584814483,-29763.0,0.3730485307942302,15,8
162,489.3408111533587,1051.3752851711026,2788.242966843303,2.5911030384066263,0.05134609113215752,87.28720060966994,-29304.0,0.31857329795097833,15,4
163,530.3127171646977,1246.3775191104935,2034.1098247338468,2.601884974481165,0.02109413239531064,61.48976885053672,-23647.0,0.11378716727188574,15,5
161,250.57676855895195,146.50986899563318,2023.154750973119,2.6265689842113344,0.042286557118864004,63.96349518360429,-24772.0,0.13046552474309145,15,10
160,244.60690769039633,512.7674245247857,2844.431893551552,2.5470110912243253,0.03097227774845975,90.11431641889001,-32841.0,-2.5431251270715243,15,3
159,230.12147161433555,216.04249920710436,2228.474036617727,2.5633118642273964,0.017958697041738584,67.8507794212819,-26939.0,0.18179195185120728,15,2
158,123.3141683778234,1038.3763175906913,2581.5101232940847,2.5296597883438516,0.043425695017198056,84.10669532429735,-30293.0,0.46482790706018917,15,1
157,109.71571469991302,372.77993621339516,2437.6806065000133,2.550930904164136,0.03483325610135622,75.62534789663711,-29796.0,0.3776918505551768,15,0
177,614.7445899011489,511.586160833556,2612.0310752221085,2.569160906565762,0.028162462521165783,84.43915578463134,-29723.0,0.01977699443426618,16,8
176,551.6724767596281,282.312583001328,2101.906919200906,2.536388560980142,0.03833508657949806,68.38873774292456,-26538.0,0.012046581062993913,16,7
175,536.1433255269321,1176.4775956284152,2234.8462512419987,2.603036718167461,0.05312653232925375,68.03981561158311,-25760.0,0.010996623066174483,16,6
174,530.3703324808184,1246.4980392156863,2046.428300317615,2.6334137275004004,0.030183048280561293,62.108139378778425,-23589.0,0.00884531881408931,16,5
173,489.33395942900074,1051.3903080390683,2786.4921408928344,2.5923465153790004,0.04710803907866013,87.5794549667044,-29293.0,0.018200203303282467,16,4
